name,meal_type,tags,ingredients,prep,Calories,Carbs (g),Protein (g),Fat (g)
Chickpea Salad,"['Lunch', 'Dinner']","['Vegan', 'LowGI']","['chickpeas', 'onion']",Mix chickpeas and onion.,250,30,12,5.0
Grilled Tofu,"['Lunch', 'Dinner']","['Vegan', 'LowGI']","['tofu', 'oil']",Grill tofu with spices.,200,6,18,9.0
Oatmeal,['Breakfast'],"['Vegan', 'LowGI']","['oats', 'water']",Boil oats in water.,180,27,6,3.0
Paneer Wrap,['Lunch'],['Vegetarian'],"['paneer', 'wrap']",Wrap grilled paneer.,300,20,15,18.0
Fruit & Nuts,['Snack'],['Vegan'],"['banana', 'almonds']",Combine fruits and nuts.,150,20,4,8.0
Lamb Curry,"['Lunch', 'Dinner']",['NonVeg'],"['lamb', 'spices']",Cook lamb with spices.,400,10,25,25.0
Tuna Salad,['Lunch'],"['NonVeg', 'LowFat']","['tuna', 'lettuce']",Mix tuna and lettuce.,250,5,22,12.0
Egg Bhurji,['Breakfast'],['NonVeg'],"['eggs', 'onion']",Scramble eggs with onion.,220,4,14,16.0
Steamed Broccoli,['Dinner'],"['Vegan', 'LowFat', 'LowGI']",['broccoli'],Steam broccoli.,70,12,5,1.0
Boiled Eggs,"['Breakfast', 'Snack']","['NonVeg', 'LowGI']",['eggs'],Boil eggs.,150,1,13,11.0
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,429,30,17,26.78
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,162,37,10,1.0
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,239,19,6,15.44
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,277,32,4,14.78
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,163,20,16,2.11
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,107,30,13,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,275,12,22,15.44
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,231,12,7,17.22
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,447,33,20,26.11
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,295,25,29,8.78
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,321,8,11,27.22
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,419,35,11,26.11
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,168,20,20,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,272,22,22,10.67
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,238,27,16,7.33
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,190,24,23,1.0
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,221,29,27,1.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,144,23,4,4.0
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,436,36,15,25.78
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,109,16,8,1.44
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,197,14,8,12.11
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,241,36,26,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,198,10,13,11.78
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,167,12,6,10.56
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,371,17,11,28.78
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,387,34,7,24.78
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,176,15,21,3.56
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,346,17,29,18.0
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,378,34,18,18.89
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,279,5,30,15.44
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,427,18,27,27.44
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,332,12,4,29.78
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,177,6,5,14.78
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,247,28,19,6.56
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,227,37,30,1.0
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,256,34,24,2.67
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,396,19,15,28.89
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,342,23,20,18.89
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,207,29,20,1.22
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,382,15,18,27.78
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,301,12,6,25.44
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,258,30,26,3.78
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,344,20,26,17.78
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,419,31,8,29.22
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,424,35,18,23.56
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,377,20,19,24.56
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,142,29,12,1.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,382,38,26,14.0
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,231,8,17,14.56
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,328,37,20,11.11
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,148,11,21,2.22
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,200,36,26,1.0
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,281,29,20,9.44
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,175,21,8,6.56
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,288,21,7,19.56
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,435,35,22,23.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,379,11,20,28.33
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,171,12,27,1.67
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,324,18,26,16.44
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,113,15,28,1.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,328,22,14,20.44
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,125,35,4,1.0
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,320,23,16,18.22
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,312,17,20,18.22
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,187,27,24,1.0
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,330,32,20,13.56
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,111,29,8,1.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,342,18,19,21.56
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,393,40,20,17.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,425,8,20,34.78
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,352,24,25,17.33
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,399,23,24,23.44
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,437,10,9,40.11
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,331,26,11,20.33
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,339,22,18,19.89
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,347,5,28,23.89
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,413,40,29,15.22
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,188,35,17,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,204,20,20,4.89
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,253,12,10,18.33
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,299,18,5,23.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,141,12,26,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,231,14,28,7.0
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,274,14,5,22.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,255,20,9,15.44
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,165,26,29,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,299,18,27,13.22
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,236,8,25,11.56
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,215,32,24,1.0
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,265,7,19,17.89
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,221,10,21,10.78
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,416,18,30,24.89
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,413,34,14,24.56
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,281,21,8,18.33
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,242,35,10,6.89
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,443,20,14,34.11
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,368,40,7,20.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,378,36,5,23.78
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,406,30,15,25.11
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,397,31,25,19.22
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,169,38,19,1.0
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,450,11,29,32.22
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,143,22,26,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,183,8,30,3.44
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,120,17,24,1.0
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,102,18,9,1.0
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,207,21,8,10.11
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,120,38,6,1.0
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,110,24,6,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,239,16,18,11.44
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,339,21,27,16.33
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,416,13,23,30.22
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,273,33,29,2.78
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,214,23,15,6.89
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,128,19,7,2.67
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,173,37,7,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,264,13,30,10.22
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,102,37,15,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,315,33,27,8.33
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,341,24,22,17.44
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,307,16,6,24.33
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,103,38,16,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,419,16,18,31.44
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,265,14,19,14.78
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,406,23,4,33.11
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,119,11,29,1.0
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,381,28,25,18.78
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,126,38,23,1.0
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,396,13,25,27.11
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,283,12,4,24.33
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,345,24,5,25.44
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,235,34,11,6.11
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,353,13,21,24.11
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,326,27,28,11.78
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,385,25,10,27.22
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,212,30,4,8.44
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,442,24,25,27.33
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,233,19,25,6.33
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,275,8,9,23.0
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,340,37,18,13.33
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,335,22,25,16.33
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,446,9,14,39.33
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,201,24,7,8.56
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,276,32,6,13.78
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,237,24,15,9.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,371,10,10,32.33
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,354,18,20,22.44
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,257,23,11,13.44
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,316,40,4,15.56
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,410,15,4,37.11
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,194,38,15,1.0
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,280,16,14,17.78
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,414,9,28,29.56
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,125,37,27,1.0
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,286,27,16,12.67
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,217,13,21,9.0
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,121,27,19,1.0
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,358,23,19,21.11
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,327,9,10,27.89
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,352,25,24,17.33
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,210,5,23,10.89
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,150,30,9,1.0
